Date,Day_of_Week,Month,Week_of_Year,Is_Weekend,Year,Simulated_Patient_Visits,Actual_Consumption,Expected_Lead_Time_Days,Medicine_Shelf_Life_Days,Min_Order_Quantity,Consumption_Lag_1D,Consumption_Lag_7D,Consumption_Avg_7D,Consumption_Avg_30D
2015-04-24,Friday,4,17,0,2015,1233,712,3,730,1000,,,,
2015-04-25,Saturday,4,17,1,2015,973,676,3,730,1000,712.0,,,
2015-04-26,Sunday,4,17,1,2015,1295,606,3,730,1000,676.0,,,
2015-04-27,Monday,4,18,0,2015,1325,740,3,730,1000,606.0,,,
2015-04-28,Tuesday,4,18,0,2015,1310,873,3,730,1000,740.0,,,
2015-04-29,Wednesday,4,18,0,2015,1317,532,3,730,1000,873.0,,,
2015-04-30,Thursday,4,18,0,2015,1295,714,3,730,1000,532.0,,,
2015-05-01,Friday,5,18,0,2015,1359,748,3,730,1000,714.0,712.0,693.2857142857143,
2015-05-02,Saturday,5,18,1,2015,1056,541,3,730,1000,748.0,676.0,698.4285714285714,
2015-05-03,Sunday,5,18,1,2015,1142,633,3,730,1000,541.0,606.0,679.1428571428571,
2015-05-04,Monday,5,19,0,2015,1241,673,3,730,1000,633.0,740.0,683.0,
2015-05-05,Tuesday,5,19,0,2015,1143,697,3,730,1000,673.0,873.0,673.4285714285714,
2015-05-06,Wednesday,5,19,0,2015,1245,696,3,730,1000,697.0,532.0,648.2857142857143,
2015-05-07,Thursday,5,19,0,2015,1293,641,3,730,1000,696.0,714.0,671.7142857142857,
2015-05-08,Friday,5,19,0,2015,1203,675,3,730,1000,641.0,748.0,661.2857142857143,
2015-05-09,Saturday,5,19,1,2015,943,587,3,730,1000,675.0,541.0,650.8571428571429,
2015-05-10,Sunday,5,19,1,2015,1103,532,3,730,1000,587.0,633.0,657.4285714285714,
2015-05-11,Monday,5,20,0,2015,1152,637,3,730,1000,532.0,673.0,643.0,
2015-05-12,Tuesday,5,20,0,2015,1133,740,3,730,1000,637.0,697.0,637.8571428571429,
2015-05-13,Wednesday,5,20,0,2015,1121,751,3,730,1000,740.0,696.0,644.0,
2015-05-14,Thursday,5,20,0,2015,1143,711,3,730,1000,751.0,641.0,651.8571428571429,
2015-05-15,Friday,5,20,0,2015,990,647,3,730,1000,711.0,675.0,661.8571428571429,
2015-05-16,Saturday,5,20,1,2015,1012,560,3,730,1000,647.0,587.0,657.8571428571429,
2015-05-17,Sunday,5,20,1,2015,937,537,3,730,1000,560.0,532.0,654.0,
2015-05-18,Monday,5,21,0,2015,1167,720,3,730,1000,537.0,637.0,654.7142857142857,
2015-05-19,Tuesday,5,21,0,2015,1068,662,3,730,1000,720.0,740.0,666.5714285714286,
2015-05-20,Wednesday,5,21,0,2015,1198,567,3,730,1000,662.0,751.0,655.4285714285714,
2015-05-21,Thursday,5,21,0,2015,1142,769,3,730,1000,567.0,711.0,629.1428571428571,
2015-05-22,Friday,5,21,0,2015,1205,508,3,730,1000,769.0,647.0,637.4285714285714,
2015-05-23,Saturday,5,21,1,2015,888,497,3,730,1000,508.0,560.0,617.5714285714286,
2015-05-24,Sunday,5,21,1,2015,931,531,3,730,1000,497.0,537.0,608.5714285714286,652.7333333333333
2015-05-25,Monday,5,22,0,2015,1109,610,3,730,1000,531.0,720.0,607.7142857142857,646.7
2015-05-26,Tuesday,5,22,0,2015,1028,615,3,730,1000,610.0,662.0,592.0,644.5
2015-05-27,Wednesday,5,22,0,2015,1207,601,3,730,1000,615.0,567.0,585.2857142857143,644.8
